id,zip,score,process,address,restaurant,inspection-date,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
10000448,78752,81,"Routine Inspection","6613 AIRPORT BLVD AUSTIN, TX 78752 ","Mom's Taste",2014-12-28T00:00:00Z,30.330709,-97.715446,1,range_interpolation,6613,"Airport Blvd",Austin,TX,"Travis County",78752,US
10000498,78748,90,"Routine Inspection","161 W SLAUGHTER LN Bldg B AUSTIN, TX 78748 ",Chick-Fil-A,2015-12-27T00:00:00Z,30.166962,-97.791288,1,range_interpolation,161,"W Slaughter Ln",Austin,TX,"Travis County",78748,US
10000508,78702,98,"Routine Inspection","1504 E 6TH ST AUSTIN, TX 78702 ","Lazy Lizard",2015-12-27T00:00:00Z,30.263516,-97.727452,1,range_interpolation,1504,"E 6th St",Austin,TX,"Travis County",78702,US
10000531,78753,82,"Routine Inspection","8201 N LAMAR BLVD AUSTIN, TX 78753 ","Capitol Food Stop #2",2015-12-27T00:00:00Z,30.350659,-97.709153,1,range_interpolation,8201,"N Lamar Blvd",Austin,TX,"Travis County",78753,US
10000619,78703,100,"Routine Inspection","1101 WEST LYNN ST AUSTIN, TX 78703 ","Caffe Medici",2014-12-28T00:00:00Z,30.279641,-97.759423,1,range_interpolation,1101,"W Lynn St",Austin,TX,"Travis County",78703,US
10000683,78732,95,"Routine Inspection","4308 N QUINLAN PARK RD AUSTIN, TX 78732 ","The Children's Center of Austin",2014-12-28T00:00:00Z,30.354567,-97.910258,0.9,range_interpolation,4308,"Quinlan Park Rd N",Austin,TX,"Travis County",78732,US
10000684,78727,82,"Routine Inspection","4101 W PARMER LN Unit A AUSTIN, TX 78727 ","Kolache Factory",2015-12-27T00:00:00Z,30.425788,-97.716286,1,range_interpolation,4101,"W Parmer Ln",Austin,TX,"Travis County",78727,US
10000688,78704,96,"Routine Inspection","539 W OLTORF ST AUSTIN, TX 78704 ","Sunrise Mini Mart",2015-12-27T00:00:00Z,30.23689,-97.750352,1,range_interpolation,539,"E Oltorf St",Austin,TX,"Travis County",78704,US
10000695,78731,96,"Routine Inspection","2823 HANCOCK DR AUSTIN, TX 78731 ","Sawyer Food Service- Hancock",2015-12-27T00:00:00Z,30.328024,-97.750141,1,range_interpolation,2823,"Hancock Dr",Austin,TX,"Travis County",78731,US
10000697,78753,82,"Routine Inspection","10901 N LAMAR BLVD Unit 104 AUSTIN, TX 78753 ","Short N Sweet",2015-12-27T00:00:00Z,30.377535,-97.688756,1,range_interpolation,10901,"N Lamar Blvd",Austin,TX,"Travis County",78753,US
10000709,78744,100,"Routine Inspection","5309 NUCKOLS CROSSING RD AUSTIN, TX 78744 ","Church's Chicken",2014-12-28T00:00:00Z,30.193018,-97.738818,1,range_interpolation,5309,"Nuckols Crossing Rd",Austin,TX,"Travis County",78744,US
10000718,78745,92,"Routine Inspection","4521 WEST GATE BLVD AUSTIN, TX 78745 ","Hyde Park Bar & Grill South",2014-12-28T00:00:00Z,30.229236,-97.801081,1,range_interpolation,4521,"W Gate Blvd",Austin,TX,"Travis County",78745,US
10000741,78721,82,"Routine Inspection","3306 OAK SPRINGS DR AUSTIN, TX 78721 ","Restaurant El Rey",2014-12-28T00:00:00Z,30.27372,-97.697868,1,range_interpolation,3306,"Oak Springs Dr",Austin,TX,"Travis County",78721,US
10000953,78735,97,"Routine Inspection","8656 W SH 71 Bldg A AUSTIN, TX 78735 ","West Rural Community Center",2015-12-27T00:00:00Z,30.267607,-97.860767,0.22,place,,,Austin,TX,"Travis County",78735,US
10001056,78753,74,"Routine Inspection","10901 N LAMAR BLVD Unit 108 AUSTIN, TX 78753 ","Pho Saigon",2014-12-28T00:00:00Z,30.377535,-97.688756,1,range_interpolation,10901,"N Lamar Blvd",Austin,TX,"Travis County",78753,US
10001074,78744,97,"Routine Inspection","5801 AINEZ DR AUSTIN, TX 78744 ","Dove Springs Recreation Center",2015-12-27T00:00:00Z,30.187486,-97.739375,1,range_interpolation,5801,"Ainez Dr",Austin,TX,"Travis County",78744,US
10001098,78723,90,"Routine Inspection","6715 E US 290 HWY EB AUSTIN, TX 78723 ","Fred Groceries Inc.",2015-12-27T00:00:00Z,30.320703,-97.690918,1,range_interpolation,6715,"E Hwy 290",Austin,TX,"Travis County",78723,US
10001140,78741,90,"Routine Inspection","1020 GROVE BLVD AUSTIN, TX 78741 ","Riverside Golf Course",2014-12-28T00:00:00Z,30.236595,-97.703528,1,range_interpolation,1020,"Grove Blvd",Austin,TX,"Travis County",78741,US
10001260,78752,96,"Routine Inspection","5764 AIRPORT BLVD AUSTIN, TX 78752 ","Panda Express #1319",2015-12-27T00:00:00Z,30.321296,-97.713662,1,range_interpolation,5764,"Airport Blvd",Austin,TX,"Travis County",78752,US
10001292,78728,90,"Routine Inspection","1779 W WELLS BRANCH PKWY AUSTIN, TX 78728 ","El Faro Taco and Cafe",2015-12-27T00:00:00Z,30.437173,-97.673557,1,range_interpolation,1779,"Wells Branch Pkwy",Austin,TX,"Travis County",78728,US
10001423,78723,97,"Routine Inspection","5630 CAMERON RD AUSTIN, TX 78723 ","Popeyes Chicken & Biscuits",2014-12-28T00:00:00Z,30.314914,-97.70291,1,range_interpolation,5630,"Cameron Rd",Austin,TX,"Travis County",78723,US
10001424,78745,100,"Routine Inspection","111 W WILLIAM CANNON DR AUSTIN, TX 78745 ","Popeye's Chicken and Biscuits",2014-12-28T00:00:00Z,30.193082,-97.779558,1,range_interpolation,111,"W William Cannon Dr",Austin,TX,"Travis County",78745,US
10001444,78701,100,"Routine Inspection","247 W 3RD ST AUSTIN, TX 78701 ","Royal Blue Grocery",2014-12-28T00:00:00Z,30.265616,-97.745653,1,range_interpolation,247,"W 3rd St",Austin,TX,"Travis County",78701,US
